method,Output,nCell,ARI.RNA,ARI level 1.RNA,AMI.RNA,AMI level 1.RNA,graph cLISI.RNA,graph cLISI level 1.RNA,isolated labels ASW.RNA,isolated labels ASW level 1.RNA,ARI.ATAC,ARI level 1.ATAC,AMI.ATAC,AMI level 1.ATAC,graph cLISI.ATAC,graph cLISI level 1.ATAC,isolated labels ASW.ATAC,isolated labels ASW level 1.ATAC,FOSCTTM,Cell match,Cell type match,Cell type level 1 match
bindSC,Embedding,6924,0.362,0.43,0.557,0.567,0.944,0.933,0.348,0.42,0.331,0.327,0.583,0.586,0.963,0.977,0.562,0.583,0.122,0.003,0.462,0.641
GLUE,Embedding,6924,0.661,0.582,0.77,0.716,0.98,0.984,0.523,0.5,0.641,0.605,0.744,0.722,0.98,0.985,0.421,0.49,0.039,0.015,0.745,0.859
LIGER iNMF,Embedding,6924,0.512,0.487,0.713,0.674,0.982,0.985,0.576,0.53,0.48,0.578,0.627,0.656,0.953,0.955,0.428,0.478,0.33,0.001,0.337,0.525
LIGER online iNMF,Embedding,6924,0.445,0.445,0.637,0.627,0.959,0.953,0.541,0.513,0.453,0.559,0.572,0.608,0.941,0.918,0.487,0.483,0.26,0.001,0.386,0.573
LIGER UINMF,Embedding,6924,0.455,0.432,0.679,0.643,0.982,0.984,0.494,0.497,0.418,0.51,0.6,0.638,0.956,0.962,0.448,0.575,0.445,0.001,0.142,0.286
MaxFuse,Embedding,6924,0.682,0.603,0.755,0.706,0.973,0.973,0.583,0.547,0.559,0.5,0.712,0.673,0.98,0.986,0.499,0.631,0.135,0.008,0.699,0.822
MultiMAP,Embedding,6924,0.274,0.253,0.596,0.573,0.969,0.978,0.467,0.516,0.236,0.24,0.531,0.531,0.959,0.968,0.471,0.604,0.149,0.003,0.598,0.772
Pamona,Embedding,6924,0.096,0.096,0.311,0.308,0.879,0.822,0.499,0.464,0.014,0.013,0.056,0.047,0.731,0.521,0.49,0.486,0.51,0,0.069,0.105
SCALEX,Embedding,6924,0.58,0.558,0.693,0.67,0.971,0.969,0.581,0.51,0.474,0.529,0.596,0.614,0.951,0.945,0.512,0.527,0.136,0.003,0.576,0.756
Seurat v3 CCA,Embedding,6924,0.406,0.379,0.653,0.614,0.972,0.973,0.609,0.542,0.389,0.338,0.664,0.629,0.98,0.985,0.334,0.529,0.082,0.004,0.685,0.825
Seurat v4 RPCA,Embedding,6924,0.486,0.437,0.666,0.626,0.969,0.977,0.594,0.531,0.309,0.286,0.593,0.573,0.972,0.981,0.428,0.465,0.109,0.005,0.631,0.79
SIMBA,Embedding,6924,0.63,0.561,0.736,0.691,0.979,0.981,0.58,0.507,0.514,0.576,0.659,0.671,0.963,0.971,0.525,0.564,0.102,0.004,0.589,0.766
unionCom,Embedding,6924,0.462,0.375,0.692,0.638,0.982,0.989,0.365,0.505,0.428,0.458,0.64,0.642,0.969,0.98,0.314,0.548,0.044,0.006,0.653,0.81
uniPort,Embedding,6924,0.52,0.519,0.651,0.643,0.967,0.968,0.506,0.483,0.607,0.552,0.736,0.689,0.978,0.981,0.575,0.508,0.08,0.008,0.688,0.819
bindSC,Embedding,6924,0.362,0.43,0.557,0.567,0.944,0.933,0.348,0.42,0.331,0.327,0.583,0.586,0.963,0.977,0.562,0.583,0.122,0.003,0.462,0.641
GLUE,Embedding,6924,0.623,0.554,0.754,0.703,0.982,0.984,0.52,0.493,0.695,0.648,0.756,0.726,0.98,0.984,0.442,0.489,0.039,0.014,0.742,0.861
LIGER iNMF,Embedding,6924,0.512,0.487,0.713,0.674,0.982,0.985,0.576,0.53,0.48,0.578,0.627,0.656,0.953,0.955,0.428,0.478,0.33,0.001,0.337,0.525
LIGER online iNMF,Embedding,6924,0.445,0.445,0.637,0.627,0.959,0.953,0.541,0.513,0.453,0.559,0.572,0.608,0.941,0.918,0.487,0.483,0.26,0.001,0.386,0.573
LIGER UINMF,Embedding,6924,0.455,0.432,0.679,0.643,0.982,0.984,0.494,0.497,0.418,0.51,0.6,0.638,0.956,0.962,0.448,0.575,0.445,0.001,0.142,0.286
MaxFuse,Embedding,6924,0.608,0.544,0.733,0.695,0.973,0.973,0.569,0.554,0.576,0.533,0.714,0.687,0.976,0.981,0.493,0.635,0.142,0.006,0.694,0.813
MultiMAP,Embedding,6924,0.274,0.253,0.596,0.573,0.969,0.978,0.467,0.516,0.236,0.24,0.531,0.531,0.959,0.968,0.471,0.604,0.149,0.003,0.598,0.772
Pamona,Embedding,6924,0.096,0.096,0.311,0.308,0.879,0.822,0.499,0.464,0.014,0.013,0.056,0.047,0.731,0.521,0.49,0.486,0.51,0,0.069,0.105
SCALEX,Embedding,6924,0.58,0.558,0.693,0.67,0.971,0.969,0.581,0.51,0.474,0.529,0.596,0.614,0.951,0.945,0.512,0.527,0.136,0.003,0.576,0.756
Seurat v3 CCA,Embedding,6924,0.406,0.379,0.653,0.614,0.972,0.973,0.609,0.542,0.389,0.338,0.664,0.629,0.98,0.985,0.334,0.529,0.082,0.004,0.685,0.825
Seurat v4 RPCA,Embedding,6924,0.486,0.437,0.666,0.626,0.969,0.977,0.594,0.531,0.309,0.286,0.593,0.573,0.972,0.981,0.428,0.465,0.109,0.005,0.631,0.79
SIMBA,Embedding,6924,0.576,0.534,0.735,0.687,0.98,0.983,0.581,0.515,0.511,0.568,0.651,0.664,0.962,0.968,0.519,0.561,0.101,0.004,0.597,0.767
unionCom,Embedding,6924,0.486,0.416,0.695,0.649,0.981,0.989,0.412,0.51,0.391,0.386,0.633,0.624,0.97,0.98,0.28,0.572,0.043,0.005,0.671,0.824
uniPort,Embedding,6924,0.52,0.519,0.651,0.643,0.967,0.968,0.506,0.483,0.607,0.552,0.736,0.689,0.978,0.981,0.575,0.508,0.08,0.008,0.688,0.819
bindSC,Embedding,6924,0.362,0.43,0.557,0.567,0.944,0.933,0.348,0.42,0.331,0.327,0.583,0.586,0.963,0.977,0.562,0.583,0.122,0.003,0.462,0.641
GLUE,Embedding,6924,0.651,0.581,0.765,0.715,0.982,0.986,0.528,0.495,0.634,0.6,0.743,0.711,0.981,0.983,0.419,0.489,0.038,0.015,0.75,0.863
LIGER iNMF,Embedding,6924,0.512,0.487,0.713,0.674,0.982,0.985,0.576,0.53,0.48,0.578,0.627,0.656,0.953,0.955,0.428,0.478,0.33,0.001,0.337,0.525
LIGER online iNMF,Embedding,6924,0.445,0.445,0.637,0.627,0.959,0.953,0.541,0.513,0.453,0.559,0.572,0.608,0.941,0.918,0.487,0.483,0.26,0.001,0.386,0.573
LIGER UINMF,Embedding,6924,0.455,0.432,0.679,0.643,0.982,0.984,0.494,0.497,0.418,0.51,0.6,0.638,0.956,0.962,0.448,0.575,0.445,0.001,0.142,0.286
MaxFuse,Embedding,6924,0.669,0.593,0.751,0.706,0.972,0.972,0.547,0.545,0.557,0.507,0.704,0.674,0.978,0.981,0.497,0.637,0.144,0.006,0.686,0.819
MultiMAP,Embedding,6924,0.274,0.253,0.596,0.573,0.969,0.978,0.467,0.516,0.236,0.24,0.531,0.531,0.959,0.968,0.471,0.604,0.149,0.003,0.598,0.772
Pamona,Embedding,6924,0.096,0.096,0.311,0.308,0.879,0.822,0.499,0.464,0.014,0.013,0.056,0.047,0.731,0.521,0.49,0.486,0.51,0,0.069,0.105
SCALEX,Embedding,6924,0.58,0.558,0.693,0.67,0.971,0.969,0.581,0.51,0.474,0.529,0.596,0.614,0.951,0.945,0.512,0.527,0.136,0.003,0.576,0.756
Seurat v3 CCA,Embedding,6924,0.406,0.379,0.653,0.614,0.972,0.973,0.609,0.542,0.389,0.338,0.664,0.629,0.98,0.985,0.334,0.529,0.082,0.004,0.685,0.825
Seurat v4 RPCA,Embedding,6924,0.486,0.437,0.666,0.626,0.969,0.977,0.594,0.531,0.309,0.286,0.593,0.573,0.972,0.981,0.428,0.465,0.109,0.005,0.631,0.79
SIMBA,Embedding,6924,0.632,0.549,0.742,0.687,0.98,0.981,0.572,0.512,0.517,0.583,0.66,0.675,0.964,0.97,0.525,0.566,0.108,0.004,0.583,0.752
unionCom,Embedding,6924,0.395,0.338,0.677,0.632,0.982,0.989,0.366,0.511,0.414,0.414,0.635,0.639,0.965,0.978,0.276,0.57,0.045,0.005,0.656,0.813
uniPort,Embedding,6924,0.52,0.519,0.651,0.643,0.967,0.968,0.506,0.483,0.607,0.552,0.736,0.689,0.978,0.981,0.575,0.508,0.08,0.008,0.688,0.819
bindSC,Embedding,6924,0.362,0.43,0.557,0.567,0.944,0.933,0.348,0.42,0.331,0.327,0.583,0.586,0.963,0.977,0.562,0.583,0.122,0.003,0.462,0.641
GLUE,Embedding,6924,0.666,0.591,0.765,0.713,0.982,0.986,0.528,0.503,0.613,0.651,0.725,0.727,0.977,0.984,0.442,0.501,0.039,0.014,0.745,0.864
LIGER iNMF,Embedding,6924,0.512,0.487,0.713,0.674,0.982,0.985,0.576,0.53,0.48,0.578,0.627,0.656,0.953,0.955,0.428,0.478,0.33,0.001,0.337,0.525
LIGER online iNMF,Embedding,6924,0.445,0.445,0.637,0.627,0.959,0.953,0.541,0.513,0.453,0.559,0.572,0.608,0.941,0.918,0.487,0.483,0.26,0.001,0.386,0.573
LIGER UINMF,Embedding,6924,0.455,0.432,0.679,0.643,0.982,0.984,0.494,0.497,0.418,0.51,0.6,0.638,0.956,0.962,0.448,0.575,0.445,0.001,0.142,0.286
MaxFuse,Embedding,6924,0.645,0.576,0.746,0.699,0.974,0.976,0.583,0.536,0.525,0.465,0.699,0.655,0.979,0.982,0.509,0.633,0.145,0.006,0.69,0.818
MultiMAP,Embedding,6924,0.274,0.253,0.596,0.573,0.969,0.978,0.467,0.516,0.236,0.24,0.531,0.531,0.959,0.968,0.471,0.604,0.149,0.003,0.598,0.772
Pamona,Embedding,6924,0.096,0.096,0.311,0.308,0.879,0.822,0.499,0.464,0.014,0.013,0.056,0.047,0.731,0.521,0.49,0.486,0.51,0,0.069,0.105
SCALEX,Embedding,6924,0.58,0.558,0.693,0.67,0.971,0.969,0.581,0.51,0.474,0.529,0.596,0.614,0.951,0.945,0.512,0.527,0.136,0.003,0.576,0.756
Seurat v3 CCA,Embedding,6924,0.406,0.379,0.653,0.614,0.972,0.973,0.609,0.542,0.389,0.338,0.664,0.629,0.98,0.985,0.334,0.529,0.082,0.004,0.685,0.825
Seurat v4 RPCA,Embedding,6924,0.486,0.437,0.666,0.626,0.969,0.977,0.594,0.531,0.309,0.286,0.593,0.573,0.972,0.981,0.428,0.465,0.109,0.005,0.631,0.79
SIMBA,Embedding,6924,0.639,0.578,0.752,0.702,0.98,0.98,0.574,0.509,0.506,0.584,0.66,0.677,0.967,0.974,0.522,0.564,0.11,0.003,0.573,0.75
unionCom,Embedding,6924,0.395,0.338,0.677,0.632,0.982,0.989,0.366,0.511,0.414,0.414,0.635,0.639,0.965,0.978,0.276,0.57,0.045,0.005,0.656,0.813
uniPort,Embedding,6924,0.52,0.519,0.651,0.643,0.967,0.968,0.506,0.483,0.607,0.552,0.736,0.689,0.978,0.981,0.575,0.508,0.08,0.008,0.688,0.819
bindSC,Embedding,6924,0.362,0.43,0.557,0.567,0.944,0.933,0.348,0.42,0.331,0.327,0.583,0.586,0.963,0.977,0.562,0.583,0.122,0.003,0.462,0.641
GLUE,Embedding,6924,0.661,0.589,0.764,0.715,0.98,0.981,0.517,0.495,0.63,0.623,0.739,0.726,0.981,0.985,0.428,0.487,0.039,0.015,0.752,0.864
LIGER iNMF,Embedding,6924,0.512,0.487,0.713,0.674,0.982,0.985,0.576,0.53,0.48,0.578,0.627,0.656,0.953,0.955,0.428,0.478,0.33,0.001,0.337,0.525
LIGER online iNMF,Embedding,6924,0.445,0.445,0.637,0.627,0.959,0.953,0.541,0.513,0.453,0.559,0.572,0.608,0.941,0.918,0.487,0.483,0.26,0.001,0.386,0.573
LIGER UINMF,Embedding,6924,0.455,0.432,0.679,0.643,0.982,0.984,0.494,0.497,0.418,0.51,0.6,0.638,0.956,0.962,0.448,0.575,0.445,0.001,0.142,0.286
MaxFuse,Embedding,6924,0.616,0.551,0.735,0.693,0.976,0.978,0.571,0.546,0.526,0.47,0.696,0.663,0.98,0.985,0.513,0.633,0.138,0.007,0.696,0.816
MultiMAP,Embedding,6924,0.274,0.253,0.596,0.573,0.969,0.978,0.467,0.516,0.236,0.24,0.531,0.531,0.959,0.968,0.471,0.604,0.149,0.003,0.598,0.772
Pamona,Embedding,6924,0.096,0.096,0.311,0.308,0.879,0.822,0.499,0.464,0.014,0.013,0.056,0.047,0.731,0.521,0.49,0.486,0.51,0,0.069,0.105
SCALEX,Embedding,6924,0.58,0.558,0.693,0.67,0.971,0.969,0.581,0.51,0.474,0.529,0.596,0.614,0.951,0.945,0.512,0.527,0.136,0.003,0.576,0.756
Seurat v3 CCA,Embedding,6924,0.406,0.379,0.653,0.614,0.972,0.973,0.609,0.542,0.389,0.338,0.664,0.629,0.98,0.985,0.334,0.529,0.082,0.004,0.685,0.825
Seurat v4 RPCA,Embedding,6924,0.486,0.437,0.666,0.626,0.969,0.977,0.594,0.531,0.309,0.286,0.593,0.573,0.972,0.981,0.428,0.465,0.109,0.005,0.631,0.79
SIMBA,Embedding,6924,0.631,0.576,0.74,0.698,0.982,0.984,0.572,0.51,0.52,0.588,0.664,0.677,0.964,0.971,0.528,0.562,0.104,0.003,0.593,0.762
unionCom,Embedding,6924,0.395,0.338,0.677,0.632,0.982,0.989,0.366,0.511,0.414,0.414,0.635,0.639,0.965,0.978,0.276,0.57,0.045,0.005,0.656,0.813
uniPort,Embedding,6924,0.52,0.519,0.651,0.643,0.967,0.968,0.506,0.483,0.607,0.552,0.736,0.689,0.978,0.981,0.575,0.508,0.08,0.008,0.688,0.819
