method,Output,nCell,Batch ASW,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,s1d1,s3d10
cobolt,Embedding,19786,0.8674,0.9664,0.9762,0.1816,0.4451,0.4504,0.6685,0.6472,0.9748,0.9861,0.5895,0.5832,10,100
MIDAS,Embedding,19786,0.8452,0.9739,0.9826,0.2607,0.441,0.4441,0.6544,0.6506,0.9755,0.9866,0.6868,0.5388,10,100
Multigrate,Embedding,19786,0.5813,0.5597,0.5994,0,0.2802,0.2597,0.5822,0.5518,0.9748,0.99,0.5979,0.5245,10,100
MultiVI,Embedding,19786,0.8637,0.9735,0.978,0.4436,0.5777,0.504,0.747,0.6907,0.9849,0.9909,0.6972,0.5704,10,100
scMoMaT,Embedding,19786,0.8289,0.8411,0.9702,0.0712,0.359,0.3187,0.5693,0.5428,0.9621,0.9647,0.5415,0.5046,10,100
cobolt,Embedding,19786,0.8426,0.9628,0.9762,0.1433,0.4514,0.4451,0.703,0.675,0.9764,0.9906,0.6107,0.5891,25,100
MIDAS,Embedding,19786,0.9207,0.9824,0.9839,0.584,0.4824,0.4574,0.6924,0.6671,0.977,0.985,0.6769,0.543,25,100
Multigrate,Embedding,19786,0.6244,0.6921,0.7868,0,0.3099,0.2719,0.6263,0.5872,0.9824,0.995,0.6286,0.5677,25,100
MultiVI,Embedding,19786,0.8988,0.9782,0.9732,0.5387,0.6042,0.5107,0.7705,0.707,0.9884,0.9948,0.704,0.5908,25,100
scMoMaT,Embedding,19786,0.8295,0.7636,0.893,0.0953,0.342,0.3168,0.5634,0.5422,0.9664,0.9704,0.5809,0.5143,25,100
cobolt,Embedding,19786,0.8427,0.9782,0.9768,0.2736,0.4676,0.4886,0.7143,0.6888,0.9816,0.994,0.6839,0.5904,50,100
MIDAS,Embedding,19786,0.9197,0.9868,0.985,0.4713,0.4811,0.4412,0.6959,0.6612,0.9823,0.991,0.6695,0.5472,50,100
Multigrate,Embedding,19786,0.6338,0.665,0.7514,0,0.3161,0.2782,0.6281,0.591,0.9871,0.9965,0.6687,0.5603,50,100
MultiVI,Embedding,19786,0.8648,0.9774,0.9753,0.4732,0.5745,0.4735,0.7573,0.6823,0.9904,0.997,0.7397,0.6049,50,100
scMoMaT,Embedding,19786,0.8249,0.8929,0.9516,0.0902,0.341,0.3262,0.5667,0.5436,0.9717,0.9827,0.6035,0.534,50,100
cobolt,Embedding,19786,0.8655,0.9748,0.9782,0.3007,0.4963,0.4932,0.7213,0.6936,0.9838,0.9958,0.6643,0.6009,75,100
MIDAS,Embedding,19786,0.9386,0.9843,0.9837,0.6672,0.5545,0.4975,0.724,0.6846,0.9819,0.9892,0.6663,0.5502,75,100
Multigrate,Embedding,19786,0.6404,0.7488,0.801,0,0.3356,0.2841,0.6449,0.6073,0.9884,0.9968,0.6784,0.5873,75,100
MultiVI,Embedding,19786,0.9173,0.9826,0.982,0.5562,0.6272,0.5148,0.7809,0.7061,0.9919,0.9958,0.7406,0.594,75,100
scMoMaT,Embedding,19786,0.8389,0.944,0.9744,0.1729,0.3482,0.3247,0.5968,0.5794,0.9739,0.9844,0.6094,0.538,75,100
cobolt,Embedding,19786,0.8117,0.9806,0.9841,0.2347,0.5164,0.4729,0.7357,0.6924,0.9862,0.9952,0.6643,0.5977,100,100
MIDAS,Embedding,19786,0.939,0.9842,0.9825,0.6823,0.5779,0.5089,0.7312,0.682,0.9826,0.9894,0.6473,0.552,100,100
Multigrate,Embedding,19786,0.5991,0.657,0.7065,0,0.3228,0.3115,0.6222,0.6099,0.9882,0.9978,0.6504,0.5736,100,100
MultiVI,Embedding,19786,0.9029,0.9839,0.985,0.5144,0.5944,0.521,0.7865,0.7268,0.9923,0.9971,0.7242,0.6005,100,100
cobolt,Embedding,19786,0.8309,0.9473,0.9646,0.1816,0.4386,0.4644,0.6448,0.6473,0.9734,0.9878,0.5927,0.589,100,10
MIDAS,Embedding,19786,0.9238,0.9603,0.9753,0.5971,0.4916,0.4668,0.6355,0.6162,0.9677,0.9682,0.6525,0.5424,100,10
Multigrate,Embedding,19786,0.7204,0.6624,0.839,0,0.2934,0.294,0.5506,0.5506,0.973,0.987,0.7495,0.5655,100,10
MultiVI,Embedding,19786,0.8982,0.9578,0.9705,0.5321,0.4915,0.4931,0.6858,0.6641,0.9758,0.9843,0.7384,0.5705,100,10
scMoMaT,Embedding,19786,0.8692,0.9126,0.9584,0.4302,0.4483,0.4671,0.5917,0.5909,0.9614,0.9735,0.5496,0.5475,100,10
cobolt,Embedding,19786,0.7978,0.9682,0.9731,0.2416,0.457,0.451,0.6881,0.6789,0.9816,0.9913,0.6006,0.598,100,25
MIDAS,Embedding,19786,0.9329,0.9801,0.98,0.6497,0.5648,0.5305,0.707,0.6861,0.9779,0.9865,0.6597,0.5518,100,25
Multigrate,Embedding,19786,0.6313,0.5884,0.7308,0,0.3543,0.2976,0.6161,0.5795,0.9846,0.9942,0.6785,0.5758,100,25
MultiVI,Embedding,19786,0.9035,0.971,0.9747,0.5957,0.5171,0.4857,0.7403,0.7019,0.9843,0.9916,0.7517,0.5938,100,25
scMoMaT,Embedding,19786,0.8527,0.932,0.9694,0.3204,0.3978,0.421,0.5825,0.5925,0.9652,0.9766,0.5363,0.5467,100,25
cobolt,Embedding,19786,0.846,0.9718,0.9753,0.3078,0.5172,0.5101,0.7272,0.7089,0.9843,0.9937,0.6383,0.6007,100,50
MIDAS,Embedding,19786,0.9303,0.9827,0.9808,0.6464,0.5793,0.513,0.7332,0.6856,0.9827,0.989,0.642,0.5573,100,50
Multigrate,Embedding,19786,0.6881,0.6434,0.6073,0,0.3334,0.3143,0.6148,0.603,0.9858,0.9949,0.7129,0.5786,100,50
MultiVI,Embedding,19786,0.928,0.9786,0.9798,0.6157,0.6206,0.5467,0.7793,0.7256,0.9898,0.9958,0.7349,0.5841,100,50
scMoMaT,Embedding,19786,0.8632,0.9258,0.9687,0.3255,0.4174,0.4057,0.6233,0.6143,0.9742,0.9878,0.4916,0.554,100,50
cobolt,Embedding,19786,0.8377,0.9798,0.9804,0.3695,0.539,0.4849,0.7522,0.7033,0.9859,0.9946,0.6165,0.6067,100,75
MIDAS,Embedding,19786,0.9363,0.9811,0.9812,0.7025,0.5706,0.5306,0.722,0.6902,0.9833,0.9901,0.6275,0.5533,100,75
Multigrate,Embedding,19786,0.5844,0.6978,0.7634,0,0.3218,0.2877,0.6307,0.6033,0.9859,0.9962,0.6783,0.5683,100,75
MultiVI,Embedding,19786,0.9026,0.9801,0.9793,0.5609,0.6172,0.5459,0.7778,0.7282,0.9911,0.9959,0.738,0.5948,100,75
scMoMaT,Embedding,19786,0.835,0.935,0.9264,0.1831,0.4198,0.4054,0.6264,0.615,0.9726,0.9864,0.5784,0.5425,100,75
scMoMaT,Embedding,19786,0.8322,0.9245,0.9703,0.1602,0.3517,0.3224,0.602,0.5761,0.9764,0.9878,0.6253,0.5417,100,100
Seurat v5 bridge,Embedding,19786,0.5118,0.7662,0.8934,0.0974,0.3557,0.3026,0.6451,0.5953,0.9878,0.9934,0.8809,0.4728,10,100
Seurat v5 bridge,Embedding,19786,0.5327,0.8431,0.9088,0.1445,0.4134,0.3093,0.6869,0.613,0.9931,0.9957,0.935,0.4756,25,100
Seurat v5 bridge,Embedding,19786,0.5472,0.8249,0.889,0.1409,0.4039,0.3068,0.6974,0.6186,0.9953,0.9979,0.8994,0.4803,50,100
Seurat v5 bridge,Embedding,19786,0.5671,0.8591,0.9214,0.1577,0.4333,0.3141,0.7148,0.627,0.9951,0.9984,0.9335,0.4804,75,100
Seurat v5 bridge,Embedding,19786,0.5969,0.8236,0.8518,0.1627,0.4103,0.3119,0.7024,0.6235,0.9955,0.9983,0.9395,0.4814,100,100
Seurat v5 bridge,Embedding,19786,0.5031,0.8294,0.9,0.2345,0.3261,0.2905,0.5435,0.5088,0.9729,0.9761,0.8755,0.4543,100,10
Seurat v5 bridge,Embedding,19786,0.5168,0.8759,0.9279,0.2153,0.4086,0.337,0.6502,0.5966,0.9894,0.9939,0.8832,0.4691,100,25
Seurat v5 bridge,Embedding,19786,0.5599,0.8361,0.887,0.1796,0.4425,0.36,0.6933,0.6321,0.9937,0.9969,0.9007,0.4778,100,50
Seurat v5 bridge,Embedding,19786,0.5847,0.8088,0.8449,0.1748,0.4189,0.3377,0.698,0.6336,0.9946,0.9983,0.8935,0.481,100,75
StabMap,Embedding,19786,0.7753,0.7381,0.8741,0.4339,0.2583,0.2907,0.3708,0.3868,0.8868,0.8362,0.4701,0.4665,10,100
StabMap,Embedding,19786,0.7644,0.7798,0.9053,0.342,0.3044,0.3796,0.4478,0.4782,0.923,0.8979,0.47,0.485,25,100
StabMap,Embedding,19786,0.7791,0.7623,0.9156,0.2825,0.303,0.382,0.5058,0.527,0.9385,0.9291,0.4964,0.5086,50,100
StabMap,Embedding,19786,0.7734,0.7944,0.9212,0.2339,0.3348,0.404,0.5194,0.5335,0.9468,0.9449,0.5228,0.5114,75,100
StabMap,Embedding,19786,0.8444,0.7139,0.8506,0.5465,0.2871,0.294,0.3003,0.3024,0.8408,0.7441,0.3579,0.4474,100,10
StabMap,Embedding,19786,0.8759,0.8475,0.9118,0.4825,0.3482,0.4091,0.4536,0.4743,0.926,0.9025,0.4469,0.487,100,25
StabMap,Embedding,19786,0.8635,0.8321,0.9139,0.3561,0.3505,0.4005,0.5208,0.5269,0.9395,0.9327,0.5121,0.5009,100,50
StabMap,Embedding,19786,0.7733,0.8368,0.9203,0.2473,0.3279,0.3813,0.5238,0.5251,0.9499,0.9381,0.5111,0.5146,100,75
StabMap,Embedding,19786,0.8008,0.8094,0.9249,0.2168,0.3328,0.3925,0.5299,0.537,0.9469,0.9422,0.5408,0.5168,100,100
